standard_name,units,long_name,out_name
sea_water_y_velocity,m s-1,Sea Water Y Velocity,vo
upward_sea_water_velocity,m s-1,Sea Water Vertical Velocity,wo
ocean_meridional_overturning_mass_streamfunction,kg s-1,Ocean Meridional Overturning Mass Streamfunction,msftmz
northward_ocean_heat_transport,W,Northward Ocean Heat Transport,hfbasin
water_flux_into_sea_water,kg m-2 s-1,Water Flux into Sea Water,wfo
downward_sea_ice_basal_salt_flux,kg m-2 s-1,Downward Sea Ice Basal Salt Flux,sfdsi
salt_flux_into_sea_water_from_rivers,kg m-2 s-1,Salt Flux into Sea Water from Rivers,sfriver
surface_downward_heat_flux_in_sea_water,W m-2,Downward Heat Flux at Sea Water Surface,hfds
downward_x_stress_at_sea_water_surface,N m-2,Sea Water Surface Downward X Stress,tauuo
downward_y_stress_at_sea_water_surface,N m-2,Sea Water Surface Downward Y Stress,tauvo
sea_floor_depth_below_geoid,m,Sea Floor Depth Below Geoid,deptho
cell_area,m2,Grid-Cell Area for Ocean Variables,areacello
sea_area_fraction,%,Sea Area Percentage,sftof
region,1,Region Selection Index,basin
upward_geothermal_heat_flux_at_sea_floor,W m-2,Upward Geothermal Heat Flux at Sea Floor,hfgeou
longitude,,UGRID Grid Specification,ugrido
mole_concentration_of_sulfur_hexafluoride_in_sea_water,mol m-3,Mole Concentration of SF6 in Sea Water,sf6
mole_concentration_of_cfc11_in_sea_water,mol m-3,Mole Concentration of CFC11 in Sea Water,cfc11
sea_water_pressure_at_sea_floor,Pa,Sea Water Pressure at Sea Floor,pbo
mole_concentration_of_cfc12_in_sea_water,mol m-3,Mole Concentration of CFC12 in Sea Water,cfc12
mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mol m-3,Surface Dissolved Inorganic Carbon Concentration,dissicos
sea_water_pressure_at_sea_water_surface,Pa,Sea Water Pressure at Sea Water Surface,pso
mole_concentration_of_dissolved_inorganic_carbon_natural_analogue_in_sea_water,mol m-3,Surface Natural Dissolved Inorganic Carbon Concentration,dissicnatos
surface_downward_mole_flux_of_sulfur_hexafluoride,mol m-2 s-1,Surface Downward SF6 Flux,fgsf6
mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,mol m-3,Surface Abiotic Dissolved Inorganic Carbon Concentration,dissicabioos
surface_downward_mole_flux_of_cfc11,mol m-2 s-1,Surface Downward CFC11 Flux,fgcfc11
sea_surface_height_above_geoid,m,Sea Surface Height Above Geoid,zos
mole_concentration_of_dissolved_inorganic_14C_in_sea_water,mol m-3,Surface Abiotic Dissolved Inorganic Carbon-14 Concentration,dissi14cabioos
surface_downward_mole_flux_of_cfc12,mol m-2 s-1,Surface Downward CFC12 Flux,fgcfc12
square_of_sea_surface_height_above_geoid,m2,Square of Sea Surface Height Above Geoid,zossq
mole_concentration_of_dissolved_inorganic_13C_in_sea_water,mol m-3,Surface Dissolved Inorganic Carbon-13 Concentration,dissi13cos
global_average_thermosteric_sea_level_change,m,Global Average Thermosteric Sea Level Change,zostoga
mole_concentration_of_dissolved_organic_carbon_in_sea_water,mol m-3,Surface Dissolved Organic Carbon Concentration,dissocos
mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,mol m-3,Surface Zooplankton Carbon Concentration,zoocos
mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,mol m-3,Surface Bacterial Carbon Concentration,baccos
mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,mol m-3,Surface Detrital Organic Carbon Concentration,detocos
mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,mol m-3,Surface Calcite Concentration,calcos
mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,mol m-3,Surface Aragonite Concentration,aragos
mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,mol m-3,Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water,phydiatos
sea_water_potential_temperature_at_sea_floor,degC,Sea Water Potential Temperature at Sea Floor,tob
mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Surface Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,phydiazos
mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Surface Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,phycalcos
mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Surface Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,phypicoos
mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Surface Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,phymiscos
mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,mol m-3,Surface Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,zmicroos
sea_water_salinity_at_sea_floor,0.001,Sea Water Salinity at Sea Floor,sob
mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,mol m-3,Surface Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,zmesoos
mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,mol m-3,Surface Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,zmiscos
sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3,Surface Total Alkalinity,talkos
sea_water_alkalinity_natural_analogue_expressed_as_mole_equivalent,mol m-3,Surface Natural Total Alkalinity,talknatos
ocean_barotropic_mass_streamfunction,kg s-1,Ocean Barotropic Mass Streamfunction,msftbarot
sea_water_ph_reported_on_total_scale,1,Surface pH,phos
sea_water_ph_natural_analogue_reported_on_total_scale,1,Surface Natural pH,phnatos
square_of_ocean_mixed_layer_thickness_defined_by_sigma_t,m2,Square of Ocean Mixed Layer Thickness Defined by Sigma T,mlotstsq
sea_water_ph_abiotic_analogue_reported_on_total_scale,1,Surface Abiotic pH,phabioos
ocean_mixed_layer_thickness_defined_by_sigma_t,m,Maximum Ocean Mixed Layer Thickness Defined by Sigma T,mlotstmax
mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mol m-3,Surface Dissolved Oxygen Concentration,o2os
ocean_mixed_layer_thickness_defined_by_sigma_t,m,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,mlotstmin
mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_saturation,mol m-3,Surface Dissolved Oxygen Concentration at Saturation,o2satos
mole_concentration_of_nitrate_in_sea_water,mol m-3,Surface Dissolved Nitrate Concentration,no3os
square_of_brunt_vaisala_frequency_in_sea_water,s-2,Square of Brunt Vaisala Frequency in Sea Water,obvfsq
mole_concentration_of_ammonium_in_sea_water,mol m-3,Surface Dissolved Ammonium Concentration,nh4os
mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,mol m-3,Surface Total Dissolved Inorganic Phosphorus Concentration,po4os
mole_concentration_of_dissolved_iron_in_sea_water,mol m-3,Surface Dissolved Iron Concentration,dfeos
mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,mol m-3,Surface Total Dissolved Inorganic Silicon Concentration,sios
upward_ocean_mass_transport,kg s-1,Upward Ocean Mass Transport,wmo
ocean_mass_x_transport,kg s-1,Ocean Mass X Transport,umo
mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,kg m-3,Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,chldiatos
ocean_mass_y_transport,kg s-1,Ocean Mass Y Transport,vmo
mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,chldiazos
mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Surface Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,chlcalcos
mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,chlpicoos
mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,chlmiscos
ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,kg s-1,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,msftmzmpa
mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,mol m-3,Surface Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,ponos
ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,kg s-1,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,msftmrhompa
mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,mol m-3,Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,popos
mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,mol m-3,Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,bfeos
ocean_y_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,kg s-1,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,msftyzmpa
mole_concentration_of_particulate_organic_matter_expressed_as_silicon_in_sea_water,mol m-3,Surface Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,bsios
ocean_y_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,kg s-1,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,msftyrhompa
ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_submesoscale_eddy_advection,kg s-1,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection,msftmzsmpa
mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,mol m-3,Surface Mole Concentration of Phytoplankton Nitrogen in Sea Water,phynos
ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_submesoscale_eddy_advection,kg s-1,Ocean Y Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection,msftyzsmpa
mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,mol m-3,Surface Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,phypos
mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,mol m-3,Surface Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,phyfeos
northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_advection,W,Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection,hfbasinpmadv
mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,mol m-3,Surface Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,physios
mole_concentration_of_dimethyl_sulfide_in_sea_water,mol m-3,Surface Mole Concentration of Dimethyl Sulphide in Sea Water,dmsos
northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_diffusion,W,Northward Ocean Heat Transport Due to Parameterized Mesoscale Diffusion,hfbasinpmdiff
mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,mol m-3,Surface Carbonate Ion Concentration,co3os
northward_ocean_heat_transport_due_to_parameterized_submesoscale_eddy_advection,W,Northward Ocean Heat Transport Due to Parameterized Submesoscale Advection,hfbasinpsmadv
mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,mol m-3,Surface Natural Carbonate Ion Concentration,co3natos
northward_ocean_heat_transport_due_to_parameterized_eddy_advection,W,Northward Ocean Heat Transport Due to Parameterized Eddy Advection,hfbasinpadv
mole_concentration_of_carbonate_abiotic_analogue_expressed_as_carbon_in_sea_water,mol m-3,Surface Abiotic Carbonate Ion Concentration,co3abioos
ocean_heat_x_transport,W,Ocean Heat X Transport,hfx
mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_calcite_in_sea_water,mol m-3,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,co3satcalcos
ocean_heat_y_transport,W,Ocean Heat Y Transport,hfy
mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,mol m-3,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,co3sataragos
northward_ocean_heat_transport_due_to_gyre,W,Northward Ocean Heat Transport Due to Gyre,htovgyre
northward_ocean_heat_transport_due_to_overturning,W,Northward Ocean Heat Transport Due to Overturning,htovovrt
northward_ocean_salt_transport_due_to_gyre,kg s-1,Northward Ocean Salt Transport Due to Gyre,sltovgyre
northward_ocean_salt_transport_due_to_overturning,kg s-1,Northward Ocean Salt Transport Due to Overturning,sltovovrt
sea_water_transport_across_line,kg s-1,Sea Water Transport,mfo
water_evapotranspiration_flux,kg m-2 s-1,Water Evaporation Flux Where Ice Free Ocean over Sea,evs
water_flux_into_sea_water_from_rivers,kg m-2 s-1,Water Flux into Sea Water from Rivers,friver
water_flux_into_sea_water_from_icebergs,kg m-2 s-1,Water Flux into Sea Water from Icebergs,ficeberg
water_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1,Water Flux into Sea Water Due to Sea Ice Thermodynamics,fsitherm
water_flux_into_sea_water_without_flux_correction,kg m-2 s-1,Water Flux into Sea Water Without Flux Correction,wfonocorr
water_flux_correction,kg m-2 s-1,Water Flux Correction,wfcorr
virtual_salt_flux_into_sea_water_due_to_rainfall,kg m-2 s-1,Virtual Salt Flux into Sea Water Due to Rainfall,vsfpr
virtual_salt_flux_into_sea_water_due_to_evaporation,kg m-2 s-1,Virtual Salt Flux into Sea Water Due to Evaporation,vsfevap
virtual_salt_flux_into_sea_water_from_rivers,kg m-2 s-1,Virtual Salt Flux into Sea Water from Rivers,vsfriver
virtual_salt_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics,vsfsit
virtual_salt_flux_into_sea_water,kg m-2 s-1,Virtual Salt Flux into Sea Water,vsf
virtual_salt_flux_correction,kg m-2 s-1,Virtual Salt Flux Correction,vsfcorr
temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water,W m-2,Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water,hfrainds
temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water,W m-2,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,hfevapds
temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water,W m-2,Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water,hfrunoffds
heat_flux_into_sea_water_due_to_snow_thermodynamics,W m-2,Heat Flux into Sea Water Due to Snow Thermodynamics,hfsnthermds
heat_flux_into_sea_water_due_to_freezing_of_frazil_ice,W m-2,Heat Flux into Sea Water Due to Frazil Ice Formation,hfsifrazil
heat_flux_into_sea_water_due_to_iceberg_thermodynamics,W m-2,Heat Flux into Sea Water Due to Iceberg Thermodynamics,hfibthermds
surface_net_downward_longwave_flux,W m-2,Surface Net Downward Longwave Radiation,rlntds
surface_downward_latent_heat_flux,W m-2,Surface Downward Latent Heat Flux,hflso
surface_downward_sensible_heat_flux,W m-2,Surface Downward Sensible Heat Flux,hfsso
net_downward_shortwave_flux_at_sea_water_surface,W m-2,Net Downward Shortwave Radiation at Sea Water Surface,rsntds
downwelling_shortwave_flux_in_sea_water,W m-2,Downwelling Shortwave Radiation in Sea Water,rsdo
heat_flux_correction,W m-2,Heat Flux Correction,hfcorr
downward_x_stress_correction_at_sea_water_surface,N m-2,Sea Water Surface Downward X Stress Correction,tauucorr
downward_y_stress_correction_at_sea_water_surface,N m-2,Sea Water Surface Downward Y Stress Correction,tauvcorr
mole_concentration_of_dimethyl_sulfide_in_sea_water,mol m-3,Mole Concentration of Dimethyl Sulphide in Sea Water,dmso
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton,mol m-3 s-1,Total Grazing of Phytoplankton by Zooplankton,graz
sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,mol m-2 s-1,Downward Flux of Particulate Organic Carbon,expc
nitrogen_growth_limitation_of_diatoms,1,Nitrogen Limitation of Diatoms,limndiat
nitrogen_growth_limitation_of_diazotrophic_phytoplankton,1,Nitrogen Limitation of Diazotrophs,limndiaz
nitrogen_growth_limitation_of_calcareous_phytoplankton,1,Nitrogen Limitation of Calcareous Phytoplankton,limncalc
nitrogen_growth_limitation_of_picophytoplankton,1,Nitrogen Limitation of Picophytoplankton,limnpico
nitrogen_growth_limitation_of_miscellaneous_phytoplankton,1,Nitrogen Limitation of Other Phytoplankton,limnmisc
growth_limitation_of_diatoms_due_to_solar_irradiance,1,Irradiance Limitation of Diatoms,limirrdiat
growth_limitation_of_diazotrophic_phytoplankton_due_to_solar_irradiance,1,Irradiance Limitation of Diazotrophs,limirrdiaz
growth_limitation_of_calcareous_phytoplankton_due_to_solar_irradiance,1,Irradiance Limitation of Calcareous Phytoplankton,limirrcalc
growth_limitation_of_picophytoplankton_due_to_solar_irradiance,1,Irradiance Limitation of Picophytoplankton,limirrpico
growth_limitation_of_miscellaneous_phytoplankton_due_to_solar_irradiance,1,Irradiance Limitation of Other Phytoplankton,limirrmisc
iron_growth_limitation_of_diatoms,1,Iron Limitation of Diatoms,limfediat
iron_growth_limitation_of_diazotrophic_phytoplankton,1,Iron Limitation of Diazotrophs,limfediaz
iron_growth_limitation_of_calcareous_phytoplankton,1,Iron Limitation of Calcareous Phytoplankton,limfecalc
iron_growth_limitation_of_picophytoplankton,1,Iron Limitation of Picophytoplankton,limfepico
iron_growth_limitation_of_miscellaneous_phytoplankton,1,Iron Limitation of Other Phytoplankton,limfemisc
net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton,mol m-2 s-1,Primary Organic Carbon Production by All Types of Phytoplankton,intpp
net_primary_mole_productivity_of_biomass_expressed_as_carbon_due_to_nitrate_utilization,mol m-2 s-1,Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone,intppnitrate
net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diatoms,mol m-2 s-1,Net Primary Organic Carbon Production by Diatoms,intppdiat
net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diazotrophic_phytoplankton,mol m-2 s-1,Net Primary Mole Productivity of Carbon by Diazotrophs,intppdiaz
net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_calcareous_phytoplankton,mol m-2 s-1,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton,intppcalc
net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_picophytoplankton,mol m-2 s-1,Net Primary Mole Productivity of Carbon by Picophytoplankton,intpppico
net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_miscellaneous_phytoplankton,mol m-2 s-1,Net Primary Organic Carbon Production by Other Phytoplankton,intppmisc
tendency_of_ocean_mole_content_of_nitrogen_due_to_biological_production,mol m-2 s-1,Nitrogen Production,intpbn
tendency_of_ocean_mole_content_of_phosphorus_due_to_biological_production,mol m-2 s-1,Phosphorus Production,intpbp
tendency_of_ocean_mole_content_of_iron_due_to_biological_production,mol m-2 s-1,Iron Production,intpbfe
tendency_of_ocean_mole_content_of_silicon_due_to_biological_production,mol m-2 s-1,Silicon Production,intpbsi
tendency_of_ocean_mole_content_of_calcite_expressed_as_carbon_due_to_biological_production,mol m-2 s-1,Calcite Production,intpcalcite
tendency_of_ocean_mole_content_of_aragonite_expressed_as_carbon_due_to_biological_production,mol m-2 s-1,Aragonite Production,intparag
sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,mol m-2 s-1,Downward Flux of Particulate Organic Carbon,epc100
sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,mol m-2 s-1,Downward Flux of Particulate Nitrogen,epn100
sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water,mol m-2 s-1,Downward Flux of Particulate Phosphorus,epp100
sinking_mole_flux_of_particulate_iron_in_sea_water,mol m-2 s-1,Downward Flux of Particulate Iron,epfe100
sinking_mole_flux_of_particulate_silicon_in_sea_water,mol m-2 s-1,Downward Flux of Particulate Silicon,epsi100
sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,mol m-2 s-1,Downward Flux of Calcite,epcalc100
sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water,mol m-2 s-1,Downward Flux of Aragonite,eparag100
ocean_mass_content_of_dissolved_inorganic_carbon,kg m-2,Dissolved Inorganic Carbon Content,intdic
ocean_mass_content_of_dissolved_organic_carbon,kg m-2,Dissolved Organic Carbon Content,intdoc
ocean_mass_content_of_particulate_organic_matter_expressed_as_carbon,kg m-2,Particulate Organic Carbon Content,intpoc
surface_partial_pressure_of_carbon_dioxide_in_sea_water,Pa,Surface Aqueous Partial Pressure of CO2,spco2
surface_carbon_dioxide_natural_analogue_partial_pressure_difference_between_sea_water_and_air,Pa,Natural Surface Aqueous Partial Pressure of CO2,spco2nat
surface_carbon_dioxide_abiotic_analogue_partial_pressure_difference_between_sea_water_and_air,Pa,Abiotic Surface Aqueous Partial Pressure of CO2,spco2abio
surface_carbon_dioxide_partial_pressure_difference_between_sea_water_and_air,Pa,Delta CO2 Partial Pressure,dpco2
surface_carbon_dioxide_natural_analogue_partial_pressure_difference_between_sea_water_and_air,Pa,Natural Delta CO2 Partial Pressure ,dpco2nat
surface_carbon_dioxide_abiotic_analogue_partial_pressure_difference_between_sea_water_and_air,Pa,Abiotic Delta Pco Partial Pressure,dpco2abio
surface_molecular_oxygen_partial_pressure_difference_between_sea_water_and_air,Pa,Delta O2 Partial Pressure,dpo2
surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon,kg m-2 s-1,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],fgco2
surface_downward_mass_flux_of_carbon_dioxide_natural_analogue_expressed_as_carbon,kg m-2 s-1,Surface Downward Mass Flux of Carbon as Natural CO2 [kgC m-2 s-1],fgco2nat
surface_downward_mass_flux_of_carbon_dioxide_abiotic_analogue_expressed_as_carbon,kg m-2 s-1,Surface Downward Mass Flux of Carbon as Abiotic CO2 [kgC m-2 s-1],fgco2abio
surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,kg m-2 s-1,Surface Downward Mass Flux of Carbon-14 as Abiotic 14CO2 [kgC m-2 s-1],fg14co2abio
surface_downward_mass_flux_of_13C_dioxide_abiotic_analogue_expressed_as_13C,kg m-2 s-1,Surface Downward Mass Flux of Carbon-13 as 13CO2 [kgC m-2 s-1],fg13co2
surface_downward_mole_flux_of_molecular_oxygen,mol m-2 s-1,Surface Downward Flux of O2,fgo2
surface_upward_mole_flux_of_dimethyl_sulfide,mol m-2 s-1,Surface Upward Flux of DMS,fgdms
tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_runoff_and_sediment_dissolution,mol m-2 s-1,Flux of Inorganic Carbon into Ocean Surface by Runoff,icfriver
minus_tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_sedimentation,mol m-2 s-1,Downward Inorganic Carbon Flux at Ocean Bottom,fric
tendency_of_ocean_mole_content_of_organic_carbon_due_to_runoff_and_sediment_dissolution,mol m-2 s-1,Flux of Organic Carbon into Ocean Surface by Runoff,ocfriver
minus_tendency_of_ocean_mole_content_of_organic_carbon_due_to_sedimentation,mol m-2 s-1,Downward Organic Carbon Flux at Ocean Bottom,froc
tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_fixation,mol m-2 s-1,Nitrogen Fixation Rate in Ocean,intpn2
tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_deposition_and_fixation_and_runoff,mol m-2 s-1,Surface Downward Net Flux of Nitrogen,fsn
minus_tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_denitrification_and_sedimentation,mol m-2 s-1,Nitrogen Loss to Sediments and Through Denitrification,frn
tendency_of_ocean_mole_content_of_iron_due_to_deposition_and_runoff_and_sediment_dissolution,mol m-2 s-1,Surface Downward Net Flux of Iron,fsfe
minus_tendency_of_ocean_mole_content_of_iron_due_to_sedimentation,mol m-2 s-1,Iron Loss to Sediments,frfe
mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_shallowest_local_minimum_in_vertical_profile,mol m-3,Oxygen Minimum Concentration,o2min
depth_at_shallowest_local_minimum_in_vertical_profile_of_mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,m,Depth of Oxygen Minimum Concentration,zo2min
minimum_depth_of_calcite_undersaturation_in_sea_water,m,Calcite Saturation Depth,zsatcalc
minimum_depth_of_aragonite_undersaturation_in_sea_water,m,Aragonite Saturation Depth,zsatarag
tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon,mol m-2 s-1,Rate of Change of Net Dissolved Inorganic Carbon,fddtdic
tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen,mol m-2 s-1,Rate of Change of Net Dissolved Inorganic Nitrogen,fddtdin
tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus,mol m-2 s-1,Rate of Change of Net Dissolved Inorganic Phosphorus,fddtdip
tendency_of_ocean_mole_content_of_dissolved_inorganic_iron,mol m-2 s-1,Rate of Change of Net Dissolved Inorganic Iron,fddtdife
tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon,mol m-2 s-1,Rate of Change of Net Dissolved Inorganic Silicon,fddtdisi
integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent,mol m-2 s-1,Rate of Change of Total Alkalinity,fddtalk
tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon_due_to_biological_processes,mol m-2 s-1,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,fbddtdic
tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen_due_to_biological_processes,mol m-2 s-1,Rate of Change of Dissolved Inorganic Nitrogen Due to Biological Activity,fbddtdin
tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus_due_to_biological_processes,mol m-2 s-1,Rate of Change of Dissolved Inorganic Phosphorus Due to Biological Activity,fbddtdip
tendency_of_ocean_mole_content_of_dissolved_inorganic_iron_due_to_biological_processes,mol m-2 s-1,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,fbddtdife
tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon_due_to_biological_processes,mol m-2 s-1,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,fbddtdisi
integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes,mol m-2 s-1,Rate of Change of Biological Alkalinity Due to Biological Activity,fbddtalk
mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mol m-3,Dissolved Inorganic Carbon Concentration,dissic
mole_concentration_of_dissolved_inorganic_carbon_natural_analogue_in_sea_water,mol m-3,Natural Dissolved Inorganic Carbon Concentration,dissicnat
mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,mol m-3,Abiotic Dissolved Inorganic Carbon Concentration,dissicabio
mole_concentration_of_dissolved_inorganic_14C_in_sea_water,mol m-3,Abiotic Dissolved Inorganic Carbon-14 Concentration,dissi14cabio
mole_concentration_of_dissolved_inorganic_13C_in_sea_water,mol m-3,Dissolved Inorganic Carbon-13 Concentration,dissi13c
mole_concentration_of_dissolved_organic_carbon_in_sea_water,mol m-3,Dissolved Organic Carbon Concentration,dissoc
mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Phytoplankton Carbon Concentration,phyc
mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,mol m-3,Zooplankton Carbon Concentration,zooc
mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,mol m-3,Bacterial Carbon Concentration,bacc
